POKEMON ,DEX ,,TYPE 1,TYPE 2
,,,,
Bulbasaur,1,,Grass,Poison
Ivysaur,2,,Grass,Poison
Venusaur,3,,Grass,Poison
Charmander,4,,Fire,-----
Charmeleon,5,,Fire,-----
Charizard,6,,Fire,Flying
Squirtle,7,,Water,-----
Wartortle,8,,Water,-----
Blastoise,9,,Water,-----
Caterpie,10,,Bug,-----
Metapod,11,,Bug,-----
Butterfree,12,,Bug,Flying
Weedle,13,,Bug,Poison
Kakuna,14,,Bug,Poison
Beedrill,15,,Bug,Poison
Pidgey,16,,Normal,Flying
Pidgeotto,17,,Normal,Flying
Pidgeot,18,,Normal,Flying
Rattata,19,,Normal,-----
Raticate,20,,Normal,-----
Spearow,21,,Normal,Flying
Fearow,22,,Normal,Flying
Ekans,23,,Poison,-----
Arbok,24,,Poison,-----
Pikachu,25,,Electric,-----
Raichu,26,,Electric,-----
Sandshrew,27,,Ground,-----
Sandslash,28,,Ground,-----
Nidoran F.,29,,Poison,-----
Nidorina,30,,Poison,-----
Nidoqueen,31,,Poison,Ground
Nidoran M.,32,,Poison,-----
Nidorino,33,,Poison,-----
Nidoking,34,,Poison,Ground
Clefairy,35,,Fairy,-----
Clefable,36,,Fairy,-----
Vulpix,37,,Fire,-----
Ninetales,38,,Fire,-----
Jigglypuff,39,,Normal,Fairy
Wigglytuff,40,,Normal,Fairy
Zubat,41,,Poison,Flying
Golbat,42,,Poison,Flying
Oddish,43,,Grass,Poison
Gloom,44,,Grass,Poison
Vileplume,45,,Grass,Poison
Paras,46,,Bug,Grass
Parasect,47,,Bug,Grass
Venonat,48,,Bug,Poison
Venomoth,49,,Bug,Poison
Diglett,50,,Ground,-----
Dugtrio,51,,Ground,-----
Meowth,52,,Normal,-----
Persian,53,,Normal,-----
Psyduck,54,,Water,-----
Golduck,55,,Water,-----
Mankey,56,,Fighting,-----
Primeape,57,,Fighting,-----
Growlithe,58,,Fire,-----
Arcanine,59,,Fire,-----
Poliwag,60,,Water,-----
Poliwhirl,61,,Water,-----
Poliwrath,62,,Water,Fighting
Abra,63,,Psychic,-----
Kadabra,64,,Psychic,-----
Alakazam,65,,Psychic,-----
Machop,66,,Fighting,-----
Machoke,67,,Fighting,-----
Machamp,68,,Fighting,-----
Bellsprout,69,,Grass,Poison
Weepinbell,70,,Grass,Poison
Victreebel,71,,Grass,Poison
Tentacool,72,,Water,Poison
Tentacruel,73,,Water,Poison
Geodude,74,,Rock,Ground
Graveler,75,,Rock,Ground
Golem,76,,Rock,Ground
Ponyta,77,,Fire,-----
Rapidash,78,,Fire,-----
Slowpoke,79,,Water,Psychic
Slowbro,80,,Water,Psychic
Slowking,199,,Water,Psychic
Magnemite,81,,Electric,Steel
Magneton,82,,Electric,Steel
Farfetch'd,83,,Normal,Flying
Doduo,84,,Normal,Flying
Dodrio,85,,Normal,Flying
Seel,86,,Water,-----
Dewgong,87,,Water,Ice
Grimer,88,,Poison,-----
Muk,89,,Poison,-----
Shellder,90,,Water,-----
Cloyster,91,,Water,Ice
Gastly,92,,Ghost,Poison
Haunter,93,,Ghost,Poison
Gengar,94,,Ghost,Poison
Onix,95,,Rock,Ground
Drowzee,96,,Psychic,-----
Hypno,97,,Psychic,-----
Krabby,98,,Water,-----
Kingler,99,,Water,-----
Voltorb,100,,Electric,-----
Electrode,101,,Electric,-----
Exeggcute,102,,Grass,Psychic
Exeggutor,103,,Grass,Psychic
Cubone,104,,Ground,-----
Marowak,105,,Ground,-----
Hitmonlee,106,,Fighting,-----
Hitmonchan,107,,Fighting,-----
Lickitung,108,,Normal,-----
Koffing,109,,Poison,-----
Weezing,110,,Poison,-----
Rhyhorn,111,,Ground,Rock
Rhydon,112,,Ground,Rock
Chansey,113,,Normal,-----
Tangela,114,,Grass,-----
Kangaskhan,115,,Normal,-----
Horsea,116,,Water,-----
Seadra,117,,Water,-----
Goldeen,118,,Water,-----
Seaking,119,,Water,-----
Staryu,120,,Water,-----
Starmie,121,,Water,Psychic
Mr. Mime,122,,Psychic,Fairy
Scyther,123,,Bug,Flying
Jynx,124,,Ice,Psychic
Electabuzz,125,,Electric,-----
Magmar,126,,Fire,-----
Pinsir,127,,Bug,Flying
Tauros,128,,Normal,-----
Magikarp,129,,Water,-----
Gyarados,130,,Water,Flying
Lapras,131,,Water,Ice
Ditto,132,,Normal,-----
Eevee,133,,Normal,-----
Vaporeon,134,,Water,-----
Jolteon,135,,Electric,-----
Flareon,136,,Fire,-----
Porygon,137,,Normal,-----
Omanyte,138,,Rock,Water
Omastar,139,,Rock,Water
Kabuto,140,,Rock,Water
Kabutops,141,,Rock,Water
Aerodactyl,142,,Rock,Flying
Snorlax,143,,Normal,-----
Articuno,144,,Ice,Flying
Zapdos,145,,Electric,Flying
Moltres,146,,Fire,Flying
Dratini,147,,Dragon,-----
Dragonair,148,,Dragon,-----
Dragonite,149,,Dragon,Flying
Mewtwo,150,,Psychic,-----
Mew,151,,Psychic,-----